,crash_type,report_made,date_time,case_number,district,location,road_type,ticket_arrest,citation_to,biker_gender,biker_city_of_residence,biker_zip_code,driver_gender,driver_city_res,driver_zip_code,injury_to_biker,level_of_injury_to_biker,biker_to_hospital,location_1,count,:@computed_region_jitf_9zyt,:@computed_region_dysk_fpxp,ped_age,ped_gender,ped_city_res,ped_zip_code,injury_to_pedestrian,level_of_injury_to_ped,pedestrian_to_hospital,lanes_of_traffic,signal_present,speed_limit,synopsis,driver_age,biker_age
803,Bike,Yes,2018-10-15T19:22:00.000,18-237221,Central District,Maryland Ave E & Sylvan,County - State Aid Highway,Yes,Driver,Male,Little Canada,55117,Male,St. Paul,55117,Yes,Suspected Minor Injury,No,"{'latitude': '44.9774406', 'longitude': '-93.10140905'}",1,3,3,,,,,,,,4,Yes,30,"Driver was WB Maryland, making a right turn to NB Sylvan.  Bike was EB on N sidewalk and was struck by vehicle.  Driver cited.",53,16
804,Pedestrian,Yes,2019-03-18T14:55:00.000,19-055208,Central District,I35E Fwy & Randolph,State - Trunk Highway,Yes,Driver,,,,Female,Little Canada,55117,,,,"{'latitude': '44.92697567', 'longitude': '-93.14450371'}",1,11,5,13,Female,St. Paul,55102,Yes,Possible Injury,Yes,2,Yes,30,"Driver #1  e/b on Randolph, and made a left turn to N/B Hwy 35E on a green light.  Driver did not see the pedestrian in the cross walk until she hit her.Driver #1 was issued a citation #620906224167 Failure to yield to pedestrian in cross walk.",26,
805,Pedestrian,Yes,2019-04-16T16:05:00.000,19-077326,Central District,14th & Jackson,Municiapl State Aid,Yes,Driver,,,,Male,St. Paul,55106,,,,"{'latitude': '44.95529867', 'longitude': '-93.0963418'}",1,12,5,18,Female,St. Paul,55130,Yes,Suspected Minor Injury,Yes,2,Yes,30,"Unit 1 was exiting Regions Hospital westbound on 14th St. turning southbound on Jackson St. Unit 1 stated he did not see unit 2 or 3 crossing. Unit 1 hit unit 2 and 3. Unit 2 stated herself and Unit 3 had a pedestrian crossing symbol prior to entering crosswalk. Unit 2 and 3 sustained scratches, possible bruising and complained of pain in chest, arm, leg and knee. See original report for further information.",68,
806,Pedestrian,Yes,2019-05-19T13:59:00.000,19-103942,Central District,Western & Cook,Private,No,None,,,,Male,St. Paul,55117,,,,"{'latitude': '44.97335773', 'longitude': '-93.11637055'}",1,3,3,36,Female,St. Paul,55117,No,None,No,Parking Lot,No,10,"On 5/19/2019 at 1409 hrs, I, squad 256 (Redmond) was dispatched to an accident in the parking lot of 1059 Western Ave N.A pedestrian was bumped by a vehicle backing out of a parking spot. The accident was captured by video surveillance at the store. Shortly after the accident the pedestrian is seen in the video running through the parking lot. Upon my arrival she stated her side was sore. Pedestrian denied medics when I offered to have them respond.The driver of the vehicle had left the scene. I located him at his home, where I gathered insurance and DL info. The driver did not speak English, the pedestrian stated it did not appear he understood her. In the video the driver stayed on scene but the pedestrian walked into the store after appearing to yell at him.",45,
807,Pedestrian,Yes,2019-06-01T11:30:00.000,19-115550,Western District,Snelling & Sargent,State - Trunk Highway,Yes,Driver,,,,Female,St. Paul,55104,,,,"{'latitude': '44.93514835', 'longitude': '-93.16694056'}",1,5,6,49,Male,Eagan,55122,No,None,No,4,No,30,"ped x-ing in marked crosswalk, one car stopped, violator did not and struck ped.",49,
808,Pedestrian,Yes,2018-09-11T11:35:00.000,18-208524,Central District,Rice St & Front,County - State Aid Highway,No,None,,,,Male,Roseville,55113,,,,"{'latitude': '44.97023948', 'longitude': '-93.1059549'}",1,3,3,49,Female,St. Paul,55104,Yes,Possible Injury,No,4,Yes,30,"Driver was starting in traffic, NB Rice when pedestrian ran in front against light.",77,
809,Bike,Yes,2018-09-25T21:56:00.000,18-221108,Western District,University Ave W & Western Ave N,Municiapl State Aid,No,None,Male,Maplewood,55119,Male,55117,,Yes,Suspected Serious Injury,Yes,"{'latitude': '44.95594945', 'longitude': '-93.11626827'}",1,10,7,,,,,,,,2,Yes,30,"Scooter was WB on sidewalk, against light and was struck by vehicle.",50,29
810,Pedestrian,Yes,2018-09-11T16:10:00.000,18-208752,Central District,Livingston & Fillmore,Municiapl State Aid,No,None,,,,Female,Burnsville,55337,,,,"{'latitude': '44.94085893', 'longitude': '-93.0861094'}",1,7,5,51,Male,Lino Lakes,55014,No,None,No,2,No,30,Driver was EB Fillmore and struck pedestrian that was crossing SB in marked x-walk.,64,
811,Pedestrian,Yes,2018-10-11T15:25:00.000,18-234156,Western District,Dale St N & Aurora,City,No,None,,,,Female,St. Paul,55104,,,,"{'latitude': '44.95487414', 'longitude': '-93.13017389'}",1,9,7,8,Female,St. Paul,55104,Yes,Possible Injury,No,2,No,30,8 y/o ran into tsreet between parked cars and was struck by driver travelling EB on Aurora W of Dale.,35,
812,Pedestrian,Yes,2018-09-01T18:52:00.000,18-200232,Western District,Hamline Ave N & University Ave W,County - State Aid Highway,No,None,,,,Male,Edina,55439,,,,"{'latitude': '44.95554292', 'longitude': '-93.15687269'}",1,17,7,70,Female,St. Paul,55117,Yes,Possible Injury,Yes,4,Yes,30,"Driver was NB Hamline, making right to EB University and struck a female in a wheelchair.  Driver said he did not see the female because the wheelchair was close to ground.  Pedestrian had the walk signal.",19,
813,Bike,Yes,2019-06-01T09:40:00.000,19-115499,Western District,Albert & Summit,Municiapl State Aid,Yes,Driver,Male,St. Paul,55116,Male,St. Paul,55103,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.94125656', 'longitude': '-93.15936574'}",1,5,6,,,,,,,,2,No,30,Unit 1 south bound Albert crossing Summit through yield sign.  Unit 2 east bound Summit approaching Albert in right-of-way bike lane.Unit 1 and 2 collide in roadway.Photographs taken.  Citation issued to Unit 1 (620907454052 / Fail to Yield).,54,36
814,Pedestrian,Yes,2019-01-07T17:40:00.000,19-004811,Central District,11 St E & Jackson St,Municiapl State Aid,No,None,,,,Male,"Hudson, WI",54016,,,,"{'latitude': '44.95288299', 'longitude': '-93.09397143'}",1,12,5,58,Male,St. Paul,55101,Yes,Possible Injury,Yes,3,Yes,30,"Unit 1 was at the intersection of Jackson St/11 St. Unit 1 was traveling southbound on Jackson St and in the left turn lane to get on 11 St to merge onto I94E. The driver of the unit 1 said a yellow car was in front of him made a quick turn, which resulted in the driver not being able to see the crosswalk and the pedestrian crossing. Driver of unit 1 said he saw a pedestrian crossing the street and he braked. The driver of unit 1 said he struck the pedestrian&#39;s walker he was using resulting in the pedestrian to fall to the ground. The driver of unit 1 made sure the pedestrian was okay and called 911. The pedestrian was transported to Regions Hospital by the SPFD.At the time of this report the pedestrian did not appear to have any visible injuries, but he said he was in pain.There was no damage to unit 1.",56,
815,Pedestrian,Yes,2019-03-22T20:34:00.000,19-058737,Eastern District,Ross & White Bear Ave,City,Yes,Driver,,,,Male,St. Paul,55106,,,,"{'latitude': '44.96583057', 'longitude': '-93.02556854'}",1,14,2,49,Female,Prior Lake,55372,Yes,Suspected Serious Injury,Yes,2,No,30,DRIVER NB WHITE BEAR AVE TURNED WB ROSS AVE. THE DRIVER STRUCK PEDESTRIAN. THE CRASH CAUSED INJURIES TO THE VICTIM. VICTIM WAS TRANSPORTED TO REGIONS HOSPITAL FOR TREATMENT.  UNIT 1 DRIVER WAS IMPAIRIED(ALCOHOL) AND A LEGAL BLOOD DRAW WAS CONDUCTED AT REGIONS HOSPITAL.SEE THE ORIGINAL REPORT FOR MORE INFORMATION.,29,
816,Pedestrian,Yes,2019-02-06T19:38:00.000,19-026558,Western District,University Ave W & Pascal St,County - State Aid Highway,No,None,,,,Female,Minneapolis,55404,,,,"{'latitude': '44.95553408', 'longitude': '-93.16197474'}",1,17,7,74,Female,Minneapolis,55404,Yes,Suspected Minor Injury,Yes,4,Yes,30,"Unit 1 stated she was driving w/b on University Avenue West and Pascal Street North when she noticed Unit 2 was attempting to cross the street. Unit 1 stated she stopped her vehicle; however, due to the icy condition road her vehicle slide and struck Unit 2.  Unit 2 stated she was attempted to cross over the street of University Avenue West and Pascal Street North when she noticed Unit 1 slide and struck her.  Unit 1 transported Unit 2 to Regions Hospital where she was treated for her injuries.",30,
817,Ped2,,2019-06-10T12:07:03.000,19-123887,,,,,,,,,,,,,,,"{'latitude': '44.95006082', 'longitude': '-93.08786498'}",1,12,5,51,Female,St. Paul,55101,No,None,No,,,,stats for 4th ped,,
818,Bike,Yes,2019-06-05T15:00:00.000,19-119503,Central District,88 Cesar Chavez,Municiapl State Aid,No,None,Male,St. Paul,55107,Female,Dalton,56324,Yes,Possible Injury,No,"{'latitude': '44.93198347', 'longitude': '-93.08140567'}",1,7,5,,,,,,,,2,No,30,"Per several witnesses on scene, Veh 1 ,bicycle rider crossed street in between to vehicles and was struck by vehicle in opposite lane. Medics on scene ,but did not transport. Minor injuries.",22,13
819,Bike,Yes,2018-09-06T18:55:00.000,18-204590,Eastern District,Johnson Pkwy & Phalen Blvd,County - State Aid Highway,Yes,Driver,Female,Maplewood,55109,Male,White,55110,No,None,No,"{'latitude': '44.97475074', 'longitude': '-93.00451689'}",1,,,,,,,,,,2,No,30,"Driver was WB Phalen, making right turn to NB Johnson and struck biker.",24,33
820,Pedestrian,Yes,2018-10-03T17:56:00.000,18-227741,Western District,Dale St N & University Ave W,County - State Aid Highway,Yes,Driver,,,,Male,St. Paul,55130,,,,"{'latitude': '44.95558122', 'longitude': '-93.12593833'}",1,9,7,15,Female,St. Paul,55117,No,None,No,4,Yes,30,Driver was EB University and struck pedestrian that was legally crossing in the crosswalk.,28,
821,Pedestrian,Yes,2018-12-15T12:15:00.000,18-284369,Central District,7 St E & Wall St,State - Trunk Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.95149019', 'longitude': '-93.08748038'}",1,12,5,53,Male,North St. Paul,55109,Yes,Possible Injury,Yes,2,No,30,"Ped crosssing WB 7th at Wall.  Black jeep ran red light and struck ped, then fled.",,
822,Pedestrian,Yes,2019-04-10T15:32:00.000,19-073077,Eastern District,Glenridge & McKnight,County - State Aid Highway,No,None,,,,Male,St. Paul,55109,,,,"{'latitude': '44.9360353', 'longitude': '-93.00491093'}",1,16,2,16,Female,St. Paul,55119,No,None,No,4,No,30,Driver of Unit 1 was driving southbound on McKnight in left lane. Driver stated there was a vehicle traveling southbound in the right lane in front of him.Driver of Unit 1 said the pedestrian ran eastbound across the street in front of him and the other southbound vehicle.  Driver of Unit 1 said the other southbound vehicle blocked his view. Driver of Unit 1 said he believed he struck the pedestrian on the leg.Pedestrian did not recall getting hit by the vehicle and did not have any visible injuries.  Pedestrian did not claim to have any injuries.  Pedestrian was looked at by St Paul Medic 24.There were no signs of damage on Unit 1.,22,
823,Pedestrian,Yes,2018-10-16T16:50:00.000,18-237895,Central District,Maryland Ave W & Norton St,County - State Aid Highway,Yes,Driver,,,,Male,St. Paul,55117,,,,"{'latitude': '44.97745778', 'longitude': '-93.11999293'}",1,3,3,5,Male,St. Paul,55117,Yes,Suspected Minor Injury,Yes,2,No,30,"School bus with stop arm out was waiting for child to cross.  Driver was WB Maryland and failed to stop, striking the child.  Driver cited for multiple violations.",39,
824,Pedestrian,Yes,2018-11-23T19:15:00.000,18-267220,Western District,Snelling Ave N & Selby Ave,State - Trunk Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.94658076', 'longitude': '-93.1670676'}",1,17,4,52,Female,Minneapolis,55404,Yes,Suspected Serious Injury,Yes,4,Yes,30,Hit & Run.  Driver struck pedestrian and then fled.  Limited information available.,,
825,Bike,Yes,2018-09-16T11:00:00.000,18-214786,Western District,St. Clair & Cretin,Municiapl State Aid,No,None,Female,St. Paul,55105,Female,Ashby,54806,Yes,Suspected Serious Injury,Yes,"{'latitude': '44.93420446', 'longitude': '-93.19242364'}",1,5,6,,,,,,,,2,Yes,30,Bike was WB on St. Clair at Cretin.  Driver opened car door and biker hit the door.,52,24
826,Bike,Yes,2019-05-04T15:55:00.000,19-091963,Eastern District,Margaret & Mendota,City,Yes,Driver,Male,St. Paul,55106,Male,St. Paul,55106,Yes,Possible Injury,Yes,"{'latitude': '44.96129513', 'longitude': '-93.06355576'}",1,15,2,,,,,,,,2,Stop Sign,30,Unit 1 was traveling Northbound on Mendota Street approaching Margaret Street.Unit 2 BIKE was traveling Eastbound on a bicycle on Margaret Street approaching Mendota Street. Unit 2 attempted to brake as Unit 1 crossing Margaret Street.Unit 2 was unable to stop and struck Unit 1 on the driver side rear sliding door at the intersection of Margaret Street and Mendota Street.Unit 2 stood up from the accident and walked Eastbound on Margaret Street to 915 Margaret Street.BIKER was transported by Saint Paul Fire Department to Region Hospital (640 Jackson Street).Driver of Unit 1 was cited for no insurance.  Biker had a stop sign.,49,8
827,Bike,Yes,2019-05-25T17:00:00.000,19-109323,Western District,Hamline & Midway,Municiapl State Aid,No,None,Male,St. Paul,55104,Unknown,Unknown,Unknown,No,None,No,"{'latitude': '44.98095607', 'longitude': '-93.15686479'}",1,2,4,,,,,,,,2,Yes,30,Unit 2 was facing southbound on Hamline Ave N attempting to take a left hand turn onto Midway Pkwy. Unit 1 was behind unit 2 also attempting to take a left hand turn onto Midway Pkwy from Hamline Ave N. Unit 1 struck Unit 2 in the rear tire of the bicycle causing operator of unit 2 to fall. Unit 1 then drove away.,,28
828,Pedestrian,Yes,2019-01-24T14:50:00.000,19-017237,Western District,Dunlap St & Larpenteur,County - State Aid Highway,Yes,Driver,,,,Male,Mahtomedi,55115,,,,"{'latitude': '44.99166292', 'longitude': '-93.14887849'}",1,2,3,72,Male,St. Paul,55108,Yes,Suspected Serious Injury,Yes,4,Yes,30,Unit 1 was traveling westbound on  Larpenteur Ave W and was going to make a left turn south on to Dunlap Ave. the driver stated he did not see the pedestrian in the crosswalk until it was too late. The driver stated his vehicle collided with the pedestrian on the driver&#39;s side front fender. The pedestrian stated he was walking across Dunlap Ave. He stated that when he was about half way through the crosswalk unit one hit him. The pedestrian was transported to St. John&#39;s hospital and treated for a broken left leg. The driver of unit one was cited for failure to yield to a pedestrian.,74,
829,Pedestrian,Yes,2018-12-06T16:38:00.000,18-277513,Central District,State St & Cesar Chavez St,Municiapl State Aid,Yes,Driver,,,,Male,Fridley,55432,,,,"{'latitude': '44.92983227', 'longitude': '-93.0780367'}",1,7,5,70,Male,St. Paul,55106,Yes,Suspected Minor Injury,No,2,No,30,"Driver failed to yield to pedestrian crossing the street in marked crosswalk with right of way.  Hit & Run, investigators located the driver and citations were issued.",19,
830,Pedestrian,Yes,2018-10-26T19:45:00.000,18-245875,Western District,Lexington Pkwy N & Central Ave W,County - State Aid Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.95297554', 'longitude': '-93.14687668'}",1,17,7,30,Male,Minneapolis,55458,Yes,Suspected Minor Injury,Yes,2,No,30,Vehicle was SB on Lexington Pkwy when it struck a Pedestrian and fled the scene.  Only information was a White Ford Taurus.,,
831,Bike,Yes,2019-03-05T17:15:00.000,19-045595,Central District,Rice St & University Ave W,County - State Aid Highway,No,None,Male,Minneapolis,55411,Female,St. Paul,55101,Yes,Possible Injury,Yes,"{'latitude': '44.95587364', 'longitude': '-93.10601025'}",1,10,7,,,,,,,,2,Yes,30,"Driver stated she drove vehicle, westbound University Ave. W. when she made a left turn (southbound) on Rice St. Driver stated she had a green turn arrow and there were vehicles turning in front of her. Driver stated she saw bike come from the right of her (on University Ave. W. southbound rice, west part of the intersection) and continued riding towards the light rail tracks (south of the intersection) headed eastbound when the impact happened. driver stated the front of her vehicle hit the rear tire of the bicycle. Bikerjust stated he was bicycling on the sidewalk, crossed the crosswalk and was struck by a vehicle.",26,41
832,Pedestrian,Yes,2018-12-11T18:17:00.000,18-281259,Eastern District,Ruth St N & Wilson St,Municiapl State Aid,Yes,Driver,,,,Female,St. Paul,55119,,,,"{'latitude': '44.95376018', 'longitude': '-93.01515699'}",1,16,2,21,Female,Maplewood,55119,No,None,No,3,No,30,"driver was SB Ruth from Wilson and ped was crossing at unmarked crosswalk, striking ped at low speed.  Driver cited for no insurnace.",35,
833,Pedestrian,Yes,2019-03-07T21:29:00.000,19-047312,Western District,Snelling Ave S & Osceola,City,Yes,Driver,,,,Male,St. Paul,55105,,,,"{'latitude': '44.93600585', 'longitude': '-93.1669028'}",1,5,6,54,Male,St. Paul,55105,Yes,Possible Injury,No,2,Stop Sign,30,"Driver of Veh 1 stated he was SB Snelling , making a left turned onto Osceola going eastbound. He observed a vehicle coming north on Snelling Ave S and he sped up trying to make the turn. As he was turning he observed a pedestrian/victim, walking south on the east side sidewalk inside the crosswalk. Driver of Veh 1 tried to brake but he slid and struck the William with the front of his vehicle. Pedestrian stated he was walking on the east side of Snelling Ave S and coming to Osceola Ave going south. As he was walking across the crosswalk to the south side of Osceola Ave, Veh 1 made a left turned and struck him. He was struck on the front side of his body. Driver of Veh 1 was cited for failing to yield to a pedestrian in a crosswalk.",56,
834,Pedestrian,Yes,2019-01-16T07:10:00.000,19-011331,Eastern District,3rd St E & Etna St,Municiapl State Aid,Yes,Driver,,,,Female,St. Paul,55106,,,,"{'latitude': '44.95674177', 'longitude': '-93.041552'}",1,15,2,15,Male,St. Paul,55106,Yes,Suspected Serious Injury,Yes,2,Yes,30,V1 was traveling NB Etna Street to WB 3rd Street. Pedestrian was walking in the marked crosswalk with the walk sign from the south side of 3rd Street to the north side of 3rd street. The crosswalk was on the west side of Etna Street. V1 made a left turn and struck the pedestrian.There multiple witnesses on scene who stated the pedestrian had a walk sign and was in the marked crosswalk. They also stated V1 had a solid green light.The pedestrian was transported to Regions Hospital by ambulance. The pedestrian sustained facial fractures under their right eye and a nasal fracture.A citation (citation #620907628004) was issued to V1 driver for failure to yield right of way and inattentive driving.,63,
835,Bike,Yes,2018-08-20T12:35:00.000,18-189015,Western District,7 St W & Maynard Drive,City,No,None,Male,St. Paul,55116,Female,St. Paul,55102,Yes,Possible Injury,No,"{'latitude': '44.90251261', 'longitude': '-93.16860218'}",1,6,6,,,,,,,,2,Stop Sign,30,"Bicyclist #1 was W/B on the south sidewalk of 7th street W approaching East Maynard Dr. He said vehicle #2 pulled up to the stop sign N/B Maynard Dr in front of him and he ran into the passenger side rear of vehicle #2 Driver of vehicle #2 stated she was N/B Maynard Dr approaching 7th street W, where she was going to make a left turn onto W/B 7th street. She said she did not see W/B cyclist #1 on the sidewalk when she pulled up to the stop sign and cyclist #1 ran into the passenger side rear of her vehicle.",55,23
836,Ped2,,2018-11-15T21:26:01.000,18-261437,,,,,,,,,,,,,,,,1,,,20,Female,St. Paul,55103,No,None,No,,,,statistics for pedestrian #2 of this crash: 18-261437,,
837,Bike,Yes,2019-06-21T19:30:00.000,19-134082,Eastern District,Hawthorne & Payne,Municiapl State Aid,Yes,Driver,Male,Maplewood,55109,Female,St. Paul,55130,Yes,Suspected Minor Injury,No,"{'latitude': '44.97821402', 'longitude': '-93.07358798'}",1,13,1,,,,,,,,2,No,30,"Unit #1 was traveling eastbound Hawthorne Ave, Unit #2 was heading northbound Payne Ave against traffic when he was struck by Unit #1. Unit #1 sustained minor injuries and was seen by SPFD. A citation was issued to Unit #1 for not failure to drive with due care.",38,57
838,Pedestrian,Yes,2018-08-27T07:40:00.000,18-195021,Central District,Rice St & Arlington,County - State Aid Highway,No,None,,,,Female,St. Paul,55117,,,,"{'latitude': '44.98459088', 'longitude': '-93.10584837'}",1,3,3,21,Female,Vadnais Heights,55127,Yes,Suspected Minor Injury,Yes,4,Yes,30,Unit #1 was traveling south on Rice St. on a green light when Unit #2 (pedestrian) ran against the light eastbound across Rice St. on Arlington Ave. Unit #1 struck the pedestrian in the intersection with the front of her vehicle causing injuries to the pedestrian. The pedestrian was transported to regions Hospital for evaluation. Driver of Unit #1 did not appear to be operating her vehicle under the influence of any alcohol or drugs. Unit #1 sustained minor damage to its front hood. Drive of Unit #1 had a valid drivers license and current insurance information. No injuries to driver of Unit #1.,37,
839,Pedestrian,Yes,2018-10-24T15:38:00.000,18-243986,Eastern District,White Bear Ave N & Old Hudson Rd,County - State Aid Highway,Yes,Driver,,,,Male,Minneapolis,55428,,,,"{'latitude': '44.95262603', 'longitude': '-93.02534801'}",1,16,2,30,Male,St. Paul,55106,Yes,Suspected Minor Injury,Yes,4,Yes,30,"Vehicle #1 was WB Old Hudson, turning SB White Bear, when it struck pedestrian who was walking EB in crosswalk.  Driver cited for FTY Ped.",25,
840,Pedestrian,Yes,2018-12-07T15:54:00.000,18-278324,Western District,Summit Ave & Chatsworth,Municiapl State Aid,No,None,,,,Male,St. Paul,55104,,,,"{'latitude': '44.94141386', 'longitude': '-93.14118969'}",1,9,7,34,Male,St. Paul,55104,Yes,Suspected Minor Injury,Yes,2,No,30,Unit 1 driver pulled over on the north end of Summit/Chatsworth to deliver a package. Unit 1 driver failed to put the vehicle in park and as the driver got out of the vehicle his own vehicle hit him.,34,
841,Pedestrian,Yes,2018-12-21T21:20:00.000,18-289523,Central District,7 St W & Webster St,Private,No,None,,,,Male,Savage,55378,,,,"{'latitude': '44.92932223', 'longitude': '-93.12440573'}",1,11,5,42,Male,St. Paul,55102,Yes,Possible Injury,No,Parking Lot,No,10,Unit 1 was pulling into the parking lot of the pedestrian&#39;s apartment complex while pedestrian was standing outside smoking and almost hit him. Pedestrian walked up to the vehicle to take a photo of the license plate and the driver drove forward striking the pedestrian&#39;s right leg.,37,
842,Pedestrian,Yes,2019-06-15T21:00:00.000,19-128648,Eastern District,Arcade St & Maryland Ave E,State - Trunk Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.97745648', 'longitude': '-93.06601656'}",1,13,1,12,Female,White Bear Lake,55110,Yes,Suspected Minor Injury,Yes,4,Yes,30,"Pedestrian was at the south/ west corner of Maryland Ave/ Arcade St to cross Maryland Ave just west of intersection. Unit 1 was headed west on Maryland Ave. Pedestrian ran across Maryland Ave and did not see unit 1. The Pedestrian was struck in the west bound lanes of Maryland Ave by a unknown four door white newer model vehicle. Unit fled the scene west bound on Maryland Ave. The pedestrian received cuts and scrapes to hands and legs and right wrist pain. St. Paul EMS MEDIC 17, RUN#21986 transported pedestrian to Regions Hospital.",,
843,Pedestrian,Yes,2018-12-31T09:58:00.000,18-295472,Western District,Snelling Ave S & Grand Ave,Private,No,None,,,,Male,Cottage Grove,55016,,,,"{'latitude': '44.93935938', 'longitude': '-93.16692593'}",1,5,6,65,Male,Falcon Heights,55108,Yes,Possible Injury,No,Parking Lot,No,10,VEH. #1 PULLED INTO PARKING STALL.  PED. #2 WAS BUMPED BY VEH. #1&#39;S PASSENGER SIDE MIRROR.  PED. #2 ELBOW STRUCK. POSSIBLE MINOR INJURY TO ELBOW.NO CITATIONS ISSUED.,77,
844,Bike,Yes,2018-09-13T15:30:00.000,18-210689,Eastern District,Cayuga St & Phalen Blvd,Municiapl State Aid,Yes,Driver,Female,St. Paul,55106,Female,St. Paul,55106,No,None,No,"{'latitude': '44.96491687', 'longitude': '-93.08352851'}",1,13,3,,,,,,,,4,Yes,30,Driver turning WB onto Phlaen.  Bike was crossing Cayuga.  Driver struck Bike's front tire.  Driver cited.,46,16
845,Pedestrian,Yes,2018-09-26T09:22:00.000,18-221436,Eastern District,Westminster St & Hoyt,Municiapl State Aid,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.98675095', 'longitude': '-93.08626534'}",1,13,3,6,Male,St. Paul,55106,No,None,No,2,No,30,Child ran across the street to get to a bus and was struck by a vehicle.  The vehicle fled.  [SRTS],,
846,Bike,Yes,2019-04-24T18:34:00.000,19-084126,Central District,Edmund & Marion,Private,Yes,Driver,Male,St. Paul,55117,Male,Brooklyn Center,55429,No,None,No,"{'latitude': '44.95887423', 'longitude': '-93.10902822'}",1,10,7,,,,,,,,Parking Lot,No,10,MV 1 was traveling southbound turning eastbound in the parking lot. MV 1 struck a bicyclist.The bicyclist had minor injuries. MV 1 was cited for failure to drive without due care.,28,7
847,Pedestrian,Yes,2018-11-14T15:48:00.000,18-260383,Western District,Universiy Ave W & Simpson St,Private,No,None,,,,Female,Duluth,55812,,,,"{'latitude': '44.95549865', 'longitude': '-93.1667312'}",1,17,7,54,Male,St. Paul,55104,Yes,Suspected Serious Injury,Yes,Parking Lot,No,10,Vehicle was exiting McDonald's drive through and struck pedestrian in parking lot.,22,
848,Pedestrian,Yes,2019-06-08T16:05:00.000,19-122478,Central District,Western & Jessamine,Municiapl State Aid,Yes,Driver,,,,Male,St. Paul,55130,,,,"{'latitude': '44.97452022', 'longitude': '-93.11618499'}",1,3,3,25,Male,St. Paul,55117,Yes,Suspected Serious Injury,Yes,2,No,30,Ped was struck while trying to enter his vehicle,44,
849,Bike,Yes,2018-09-07T11:31:00.000,18-205104,Eastern District,Oldhudson Rd & Van Dyke St,Private,No,None,Female,St. Paul,55103,Female,Austin,55912,Yes,Possible Injury,Yes,"{'latitude': '44.95276018', 'longitude': '-93.0215913'}",1,16,2,,,,,,,,Parking Lot,No,10,driver was SB in parking lot.  Bike was EB on sidewalk.  Conflicting information from independent witnesses.,20,41
850,Pedestrian,Yes,2019-03-13T06:29:00.000,19-051016,Central District,Jackson St & Valley St,City,No,None,,,,Female,Coon Rapids,55448,,,,"{'latitude': '44.95858798', 'longitude': '-93.0990444'}",1,10,7,48,Male,St. Paul,55103,Yes,Suspected Minor Injury,Yes,2,No,30,"Driver lost control EB Valley Street due to the extremely icy conditions and the steep downhill slope of the road. Driver crashed into the snowy embankment on the north side of the road. Unit 2 driver lost control driving eastbound on Valley Street for the same reasons as Unit One. Unit Two collided with Unit One resulting in very minor damage and no injuries. After the collision, Unit Three, Pedestrian/Unit One driver, attempted to dig his vehicle out of the snow. Unit Four lost control driving eastbound on Valley Street for the same reasons as Units One and Two. Unit Four collided with Unit Two, which propelled Unit Two into Unit Three (Pedestrian). Units Four and Two sustained very minor damage. Unit Three sustained minor injuries and was able to walk down the hill with SPFD Medics to the Ambulance.",32,
851,Pedestrian,Yes,2019-05-04T21:45:00.000,19-092315,Eastern District,1045 Hudson Rd,Municiapl State Aid,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.95225073', 'longitude': '-93.05725976'}",1,15,2,23,Male,St. Paul,55106,Yes,Suspected Minor Injury,Yes,2,No,30,Veh 1 was traveling East on Hudson Road approaching Earl Street. Ped 1 was in an unknown location on the road. Veh 1 struck Ped 1 then drove away from the scene.Ped 1 was transported to the hospital with non life threatening injuries. A SPPD report was also made. Photos were taken of Ped 1.,,
852,Bike,Yes,2018-09-18T07:00:00.000,18-214419,Western District,Portland Ave & Cleveland Ave N,County - State Aid Highway,No,None,Male,St. Paul,55105,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,No,"{'latitude': '44.94286138', 'longitude': '-93.18723087'}",1,17,4,,,,,,,,2,No,30,"Bike was NB in bike lane. Driver also NB, sides swiped bike, but continued and failed to stop.",,28
853,Pedestrian,Yes,2018-12-14T17:15:00.000,18-283762,Central District,Wabasha St S & Cesar Chavez St,Municiapl State Aid,Yes,Driver,,,,Female,St. Paul,55106,,,,"{'latitude': '44.93382937', 'longitude': '-93.08411383'}",1,7,5,37,Female,St. Paul,55107,Yes,Suspected Minor Injury,Yes,2,Stop Sign,30,Unit 2 was crossing southbound from the northwest corner of Wabasha and Cesar Chavez. Unit 1 was stopped at the south east corner of Wabasha and Cesar Chavez. Unit 1 entered the intersection of Wabasha and Cesar Chavez while Unit 2 was in the crosswalk. Unit 1 hit unit 2 and injured her foot/ankle. Unit 1 was inside their lane prior to entering the intersection. Unit 2 was within the marked crosswalk. Unit 2 was transported to the local hospital to be treated for  her injuries.,47,
